user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_pct,week1_rank,week2_hits,week2_rate,week2_pct,week2_rank,week3_hits,week3_rate,week3_pct,week3_rank,week4_hits,week4_rate,week4_pct,week4_rank,week5_hits,week5_rate,week5_pct,week5_rank,week6_hits,week6_rate,week6_pct,week6_rank,week7_hits,week7_rate,week7_pct,week7_rank,week8_hits,week8_rate,week8_pct,week8_rank,week9_hits,week9_rate,week9_pct,week9_rank,week10_hits,week10_rate,week10_pct,week10_rank,week11_hits,week11_rate,week11_pct,week11_rank,week12_hits,week12_rate,week12_pct,week12_rank,week13_hits,week13_rate,week13_pct,week13_rank,week14_hits,week14_rate,week14_pct,week14_rank,week15_hits,week15_rate,week15_pct,week15_rank,week16_hits,week16_rate,week16_pct,week16_rank,week17_hits,week17_rate,week17_pct,week17_rank,week18_hits,week18_rate,week18_pct,week18_rank,week19_hits,week19_rate,week19_pct,week19_rank,week20_hits,week20_rate,week20_pct,week20_rank,week21_hits,week21_rate,week21_pct,week21_rank
110,Pickwatch Fan Picks,Pickwatch,1,0,0,0,135.0,11,0,0.6875,0,7,0,0.4375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,13,0,0.8666666666666667,0,12,0,0.8,0,10,0,0.6666666666666666,0,9,0,0.6,0,10,0,0.7692307692307693,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,12,0,0.8,0,11,0,0.6875,0,12,0,0.75,0,13,0,0.8125,0,10,0,0.625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Bill Lekas,Sirius,1,0,0,0,135.0,11,0,0.6875,0,9,0,0.5625,0,11,0,0.6875,0,7,0,0.5384615384615384,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,9,0,0.6,0,6,0,0.4,0,8,0,0.6153846153846154,0,10,0,0.7692307692307693,0,6,0,0.42857142857142855,0,11,0,0.7333333333333333,0,11,0,0.6875,0,13,0,0.8125,0,13,0,0.8125,0,9,0,0.5625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Gordon McGuinness,ProFootballFocus,1,0,0,0,135.0,11,0,0.6875,0,8,0,0.5,0,11,0,0.6875,0,9,0,0.6923076923076923,0,12,0,0.8,0,11,0,0.7333333333333333,0,12,0,0.8,0,11,0,0.7333333333333333,0,10,0,0.7692307692307693,0,10,0,0.7692307692307693,0,7,0,0.5,0,13,0,0.8666666666666667,0,11,0,0.6875,0,7,0,0.4375,0,11,0,0.6875,0,8,0,0.5,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Peter Schrager,FOX,1,0,0,0,135.0,11,0,0.6875,0,5,0,0.3125,0,12,0,0.75,0,9,0,0.6923076923076923,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,10,0,0.7692307692307693,0,8,0,0.6153846153846154,0,7,0,0.5,0,9,0,0.6,0,9,0,0.5625,0,10,0,0.625,0,11,0,0.6875,0,10,0,0.625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Gregg Rosenthal,NFL,1,0,0,0,135.0,11,0,0.6875,0,10,0,0.625,0,11,0,0.6875,0,6,0,0.46153846153846156,0,12,0,0.8,0,9,0,0.6,0,10,0,0.6666666666666666,0,9,0,0.6,0,9,0,0.6923076923076923,0,9,0,0.6923076923076923,0,8,0,0.5714285714285714,0,12,0,0.8,0,11,0,0.6875,0,12,0,0.75,0,13,0,0.8125,0,10,0,0.625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Brad Gagnon,Bleacher Report,1,0,0,0,135.0,11,0,0.6875,0,9,0,0.5625,0,11,0,0.6875,0,7,0,0.5384615384615384,0,11,0,0.7333333333333333,0,9,0,0.6,0,11,0,0.7333333333333333,0,12,0,0.8,0,7,0,0.5384615384615384,0,10,0,0.7692307692307693,0,7,0,0.5,0,13,0,0.8666666666666667,0,10,0,0.625,0,11,0,0.6875,0,13,0,0.8125,0,10,0,0.625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Michael Robinson,NFL,1,0,0,0,135.0,11,0,0.6875,0,0,0,0.0,0,11,0,0.6875,0,8,0,0.6153846153846154,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,9,0,0.6,0,7,0,0.5384615384615384,0,11,0,0.8461538461538461,0,5,0,0.35714285714285715,0,11,0,0.7333333333333333,0,9,0,0.5625,0,10,0,0.625,0,0,0,0.0,0,0,0,0.0,0,14,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mike Golic,ESPN,1,0,0,0,135.0,11,0,0.6875,0,5,0,0.3125,0,12,0,0.75,0,5,0,0.38461538461538464,0,12,0,0.8,0,10,0,0.6666666666666666,0,7,0,0.4666666666666667,0,9,0,0.6,0,8,0,0.6153846153846154,0,9,0,0.6923076923076923,0,8,0,0.5714285714285714,0,11,0,0.7333333333333333,0,11,0,0.6875,0,11,0,0.6875,0,11,0,0.6875,0,9,0,0.5625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,FOX.com Editors,FOX,1,0,0,0,135.0,11,0,0.6875,0,6,0,0.375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,12,0,0.8,0,8,0,0.5333333333333333,0,9,0,0.6,0,7,0,0.4666666666666667,0,7,0,0.5384615384615384,0,8,0,0.6153846153846154,0,7,0,0.5,0,10,0,0.6666666666666666,0,9,0,0.5625,0,13,0,0.8125,0,11,0,0.6875,0,8,0,0.5,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,NFL.com Fan Picks,NFL,1,0,0,0,135.0,11,0,0.6875,0,7,0,0.4375,0,11,0,0.6875,0,7,0,0.5384615384615384,0,12,0,0.8,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,13,0,0.8666666666666667,0,10,0,0.625,0,12,0,0.75,0,13,0,0.8125,0,8,0,0.5,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Steve Palazzolo,ProFootballFocus,1,0,0,0,135.0,11,0,0.6875,0,8,0,0.5,0,11,0,0.6875,0,8,0,0.6153846153846154,0,12,0,0.8,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,8,0,0.5333333333333333,0,9,0,0.6923076923076923,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,10,0,0.6666666666666666,0,9,0,0.5625,0,10,0,0.625,0,13,0,0.8125,0,9,0,0.5625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Expert Consensus,Pickwatch,1,0,0,0,135.0,11,0,0.6875,0,7,0,0.4375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,12,0,0.8,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,9,0,0.6,0,10,0,0.7692307692307693,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,11,0,0.7333333333333333,0,10,0,0.625,0,11,0,0.6875,0,12,0,0.75,0,10,0,0.625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Braden Gall,Athlon Sports,1,0,0,0,135.0,11,0,0.6875,0,9,0,0.5625,0,8,0,0.5,0,5,0,0.38461538461538464,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,7,0,0.4666666666666667,0,11,0,0.8461538461538461,0,8,0,0.6153846153846154,0,6,0,0.42857142857142855,0,12,0,0.8,0,0,0,0.0,0,0,0,0.0,0,13,0,0.8125,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Dave Dameshek,NFL,1,0,0,0,135.0,11,0,0.6875,0,9,0,0.5625,0,11,0,0.6875,0,7,0,0.5384615384615384,0,12,0,0.8,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,9,0,0.6923076923076923,0,10,0,0.7142857142857143,0,10,0,0.6666666666666666,0,12,0,0.75,0,12,0,0.75,0,12,0,0.75,0,9,0,0.5625,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Marcas Grant,NFL,1,0,0,0,135.0,10,0,0.625,0,7,0,0.4375,0,12,0,0.75,0,7,0,0.5384615384615384,0,13,0,0.8666666666666667,0,11,0,0.7333333333333333,0,9,0,0.6,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,10,0,0.7692307692307693,0,7,0,0.5,0,12,0,0.8,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,8,0,0.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Sam Monson,ProFootballFocus,1,0,0,0,135.0,10,0,0.625,0,6,0,0.375,0,10,0,0.625,0,9,0,0.6923076923076923,0,13,0,0.8666666666666667,0,8,0,0.5333333333333333,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,8,0,0.6153846153846154,0,6,0,0.42857142857142855,0,12,0,0.8,0,9,0,0.5625,0,12,0,0.75,0,9,0,0.5625,0,9,0,0.5625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Boomer Esiason,CBS,1,0,0,0,135.0,10,0,0.625,0,8,0,0.5,0,10,0,0.625,0,6,0,0.46153846153846156,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,9,0,0.6,0,10,0,0.7692307692307693,0,9,0,0.6923076923076923,0,9,0,0.6428571428571429,0,8,0,0.5333333333333333,0,8,0,0.5,0,12,0,0.75,0,12,0,0.75,0,10,0,0.625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Michael Fabiano,NFL,1,0,0,0,135.0,10,0,0.625,0,8,0,0.5,0,12,0,0.75,0,7,0,0.5384615384615384,0,12,0,0.8,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,8,0,0.6153846153846154,0,9,0,0.6923076923076923,0,7,0,0.5,0,11,0,0.7333333333333333,0,9,0,0.5625,0,11,0,0.6875,0,13,0,0.8125,0,9,0,0.5625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Yahoo Users,Yahoo,1,0,0,0,135.0,10,0,0.625,0,7,0,0.4375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,13,0,0.8666666666666667,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,9,0,0.6,0,9,0,0.6923076923076923,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,12,0,0.8,0,9,0,0.5625,0,12,0,0.75,0,13,0,0.8125,0,7,0,0.4375,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Don Banks,Patriots.com,1,0,0,0,135.0,10,0,0.625,0,10,0,0.625,0,10,0,0.625,0,6,0,0.46153846153846156,0,13,0,0.8666666666666667,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,11,0,0.8461538461538461,0,9,0,0.6923076923076923,0,9,0,0.6428571428571429,0,12,0,0.8,0,10,0,0.625,0,8,0,0.5,0,12,0,0.75,0,9,0,0.5625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Kurt Warner,NFL,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,8,0,0.5,0,7,0,0.5384615384615384,0,12,0,0.8,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,8,0,0.6153846153846154,0,10,0,0.7692307692307693,0,7,0,0.5,0,10,0,0.6666666666666666,0,9,0,0.5625,0,10,0,0.625,0,12,0,0.75,0,10,0,0.625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Keyshawn Johnson,ESPN,1,0,0,0,135.0,10,0,0.625,0,5,0,0.3125,0,9,0,0.5625,0,6,0,0.46153846153846156,0,13,0,0.8666666666666667,0,9,0,0.6,0,11,0,0.7333333333333333,0,9,0,0.6,0,11,0,0.8461538461538461,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,10,0,0.6666666666666666,0,6,0,0.375,0,10,0,0.625,0,11,0,0.6875,0,11,0,0.6875,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Ben Stockwell,ProFootballFocus,1,0,0,0,135.0,10,0,0.625,0,6,0,0.375,0,12,0,0.75,0,3,0,0.23076923076923078,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,13,0,0.8666666666666667,0,11,0,0.8461538461538461,0,10,0,0.7692307692307693,0,8,0,0.5714285714285714,0,12,0,0.8,0,9,0,0.5625,0,12,0,0.75,0,13,0,0.8125,0,9,0,0.5625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Numberfire,NumberFire,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,6,0,0.46153846153846156,0,13,0,0.8666666666666667,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,10,0,0.7692307692307693,0,9,0,0.6428571428571429,0,11,0,0.7333333333333333,0,10,0,0.625,0,10,0,0.625,0,12,0,0.75,0,9,0,0.5625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Bill Cowher,CBS,1,0,0,0,135.0,10,0,0.625,0,7,0,0.4375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,12,0,0.8,0,7,0,0.4666666666666667,0,11,0,0.7333333333333333,0,9,0,0.6,0,10,0,0.7692307692307693,0,9,0,0.6923076923076923,0,6,0,0.42857142857142855,0,8,0,0.5333333333333333,0,9,0,0.5625,0,9,0,0.5625,0,13,0,0.8125,0,11,0,0.6875,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Pete Prisco,CBS,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,13,0,0.8125,0,9,0,0.6923076923076923,0,12,0,0.8,0,7,0,0.4666666666666667,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,9,0,0.6923076923076923,0,8,0,0.6153846153846154,0,8,0,0.5714285714285714,0,13,0,0.8666666666666667,0,10,0,0.625,0,10,0,0.625,0,12,0,0.75,0,12,0,0.75,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Zach Kruse,Bleacher Report,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,12,0,0.75,0,8,0,0.6153846153846154,0,12,0,0.8,0,10,0,0.6666666666666666,0,9,0,0.6,0,8,0,0.5333333333333333,0,8,0,0.6153846153846154,0,8,0,0.6153846153846154,0,6,0,0.42857142857142855,0,12,0,0.8,0,9,0,0.5625,0,10,0,0.625,0,11,0,0.6875,0,9,0,0.5625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Prediction Machine,Prediction Machine,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,7,0,0.5384615384615384,0,12,0,0.8,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,9,0,0.6,0,10,0,0.7692307692307693,0,9,0,0.6923076923076923,0,7,0,0.5,0,12,0,0.8,0,10,0,0.625,0,10,0,0.625,0,13,0,0.8125,0,8,0,0.5,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Rivers McCown,Bleacher Report,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,7,0,0.4375,0,5,0,0.38461538461538464,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,7,0,0.4666666666666667,0,8,0,0.5333333333333333,0,9,0,0.6923076923076923,0,9,0,0.6923076923076923,0,5,0,0.35714285714285715,0,9,0,0.6,0,9,0,0.5625,0,12,0,0.75,0,7,0,0.4375,0,8,0,0.5,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Gary Mihoces,USA Today,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,7,0,0.5384615384615384,0,12,0,0.8,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,8,0,0.5333333333333333,0,10,0,0.7692307692307693,0,9,0,0.6923076923076923,0,9,0,0.6428571428571429,0,13,0,0.8666666666666667,0,7,0,0.4375,0,11,0,0.6875,0,14,0,0.875,0,9,0,0.5625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Cris Carter,ESPN,1,0,0,0,135.0,10,0,0.625,0,7,0,0.4375,0,14,0,0.875,0,7,0,0.5384615384615384,0,12,0,0.8,0,11,0,0.7333333333333333,0,11,0,0.7333333333333333,0,10,0,0.6666666666666666,0,11,0,0.8461538461538461,0,10,0,0.7692307692307693,0,9,0,0.6428571428571429,0,11,0,0.7333333333333333,0,11,0,0.6875,0,11,0,0.6875,0,12,0,0.75,0,9,0,0.5625,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Chris Hansen,Bleacher Report,1,0,0,0,135.0,10,0,0.625,0,5,0,0.3125,0,9,0,0.5625,0,4,0,0.3076923076923077,0,11,0,0.7333333333333333,0,9,0,0.6,0,9,0,0.6,0,11,0,0.7333333333333333,0,8,0,0.6153846153846154,0,9,0,0.6923076923076923,0,6,0,0.42857142857142855,0,11,0,0.7333333333333333,0,12,0,0.75,0,10,0,0.625,0,14,0,0.875,0,10,0,0.625,0,12,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Henry Hodgson,NFL,1,0,0,0,135.0,10,0,0.625,0,6,0,0.375,0,12,0,0.75,0,5,0,0.38461538461538464,0,10,0,0.6666666666666666,0,12,0,0.8,0,11,0,0.7333333333333333,0,8,0,0.5333333333333333,0,9,0,0.6923076923076923,0,8,0,0.6153846153846154,0,8,0,0.5714285714285714,0,11,0,0.7333333333333333,0,9,0,0.5625,0,11,0,0.6875,0,12,0,0.75,0,7,0,0.4375,0,13,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Joel Beall,FOX,1,0,0,0,135.0,10,0,0.625,0,6,0,0.375,0,11,0,0.6875,0,8,0,0.6153846153846154,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,6,0,0.4,0,12,0,0.8,0,11,0,0.8461538461538461,0,9,0,0.6923076923076923,0,8,0,0.5714285714285714,0,13,0,0.8666666666666667,0,9,0,0.5625,0,10,0,0.625,0,12,0,0.75,0,10,0,0.625,0,3,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,FiveThirtyEight,FiveThirtyEight,1,0,0,0,135.0,10,0,0.625,0,9,0,0.5625,0,12,0,0.75,0,10,0,0.7692307692307693,0,13,0,0.8666666666666667,0,10,0,0.6666666666666666,0,10,0,0.6666666666666666,0,11,0,0.7333333333333333,0,9,0,0.6923076923076923,0,9,0,0.6923076923076923,0,8,0,0.5714285714285714,0,12,0,0.8,0,9,0,0.5625,0,12,0,0.75,0,12,0,0.75,0,9,0,0.5625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
