user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_pct,week1_rank,week2_hits,week2_rate,week2_pct,week2_rank,week3_hits,week3_rate,week3_pct,week3_rank,week4_hits,week4_rate,week4_pct,week4_rank,week5_hits,week5_rate,week5_pct,week5_rank,week6_hits,week6_rate,week6_pct,week6_rank,week7_hits,week7_rate,week7_pct,week7_rank,week8_hits,week8_rate,week8_pct,week8_rank,week9_hits,week9_rate,week9_pct,week9_rank,week10_hits,week10_rate,week10_pct,week10_rank,week11_hits,week11_rate,week11_pct,week11_rank,week12_hits,week12_rate,week12_pct,week12_rank,week13_hits,week13_rate,week13_pct,week13_rank,week14_hits,week14_rate,week14_pct,week14_rank,week15_hits,week15_rate,week15_pct,week15_rank,week16_hits,week16_rate,week16_pct,week16_rank,week17_hits,week17_rate,week17_pct,week17_rank,week18_hits,week18_rate,week18_pct,week18_rank,week19_hits,week19_rate,week19_pct,week19_rank,week20_hits,week20_rate,week20_pct,week20_rank,week21_hits,week21_rate,week21_pct,week21_rank
47801,Morgan Moriarty,SB Nation,56,0,0.0,0,111.0,12,0,0.75,0,11,0,0.6875,0,10,0,0.625,0,8,0,0.5333333333333333,0,9,0,0.6,0,6,0,0.42857142857142855,0,9,0,0.6428571428571429,0,13,0,0.8666666666666667,0,9,0,0.6428571428571429,0,4,0,0.3076923076923077,0,13,0,0.9285714285714286,0,9,0,0.6428571428571429,0,6,0,0.375,0,8,0,0.5,0,12,0,0.75,0,12,0,0.75,0,9,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41287,John Owning,DallasMorningNews,56,0,0.0,0,111.0,12,0,0.75,0,10,0,0.625,0,9,0,0.5625,0,6,0,0.4,0,10,0,0.6666666666666666,0,6,0,0.42857142857142855,0,11,0,0.7857142857142857,0,11,0,0.7333333333333333,0,8,0,0.5714285714285714,0,3,0,0.23076923076923078,0,10,0,0.7142857142857143,0,10,0,0.7142857142857143,0,9,0,0.5625,0,9,0,0.5625,0,12,0,0.75,0,9,0,0.5625,0,8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41759,Solomon Wilcots,ProFootballFocus,56,0,0.0,0,111.0,9,0,0.5625,0,8,0,0.5,0,10,0,0.625,0,9,0,0.6,0,7,0,0.4666666666666667,0,9,0,0.6428571428571429,0,8,0,0.5714285714285714,0,13,0,0.8666666666666667,0,8,0,0.5714285714285714,0,7,0,0.5384615384615384,0,11,0,0.7857142857142857,0,10,0,0.7142857142857143,0,5,0,0.3125,0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,11,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37564,John Buhler,Fansided,56,0,0.0,0,111.0,12,0,0.75,0,7,0,0.4375,0,10,0,0.625,0,6,0,0.4,0,9,0,0.6,0,3,0,0.21428571428571427,0,9,0,0.6428571428571429,0,12,0,0.8,0,8,0,0.5714285714285714,0,5,0,0.38461538461538464,0,11,0,0.7857142857142857,0,10,0,0.7142857142857143,0,8,0,0.5,0,8,0,0.5,0,9,0,0.5625,0,10,0,0.625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46077,Jason Taylor,Westwood One,56,0,0.0,0,111.0,11,0,0.6875,0,10,0,0.625,0,10,0,0.625,0,7,0,0.4666666666666667,0,10,0,0.6666666666666666,0,9,0,0.6428571428571429,0,9,0,0.6428571428571429,0,11,0,0.7333333333333333,0,9,0,0.6428571428571429,0,6,0,0.46153846153846156,0,11,0,0.7857142857142857,0,13,0,0.9285714285714286,0,10,0,0.625,0,10,0,0.625,0,11,0,0.6875,0,12,0,0.75,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41755,Bruce Gradkowski,ProFootballFocus,56,0,0.0,0,111.0,8,0,0.5,0,9,0,0.5625,0,11,0,0.6875,0,7,0,0.4666666666666667,0,10,0,0.6666666666666666,0,7,0,0.5,0,10,0,0.7142857142857143,0,13,0,0.8666666666666667,0,8,0,0.5714285714285714,0,5,0,0.38461538461538464,0,11,0,0.7857142857142857,0,7,0,0.5,0,10,0,0.625,0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Conor Orr,MMQB,56,0,0.0,0,111.0,12,0,0.75,0,9,0,0.5625,0,9,0,0.5625,0,4,0,0.26666666666666666,0,9,0,0.6,0,7,0,0.5,0,10,0,0.7142857142857143,0,11,0,0.7333333333333333,0,9,0,0.6428571428571429,0,7,0,0.5384615384615384,0,12,0,0.8571428571428571,0,6,0,0.42857142857142855,0,9,0,0.5625,0,8,0,0.5,0,9,0,0.5625,0,9,0,0.5625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45128,Andrew Hawkins,NFL,56,0,0.0,0,111.0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,7,0,0.4666666666666667,0,9,0,0.6,0,7,0,0.5,0,9,0,0.6428571428571429,0,12,0,0.8,0,8,0,0.5714285714285714,0,4,0,0.3076923076923077,0,0,0,0.0,0,9,0,0.6428571428571429,0,11,0,0.6875,0,0,0,0.0,0,11,0,0.6875,0,13,0,0.8125,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41285,Alaina Getzenberg,DallasMorningNews,56,0,0.0,0,111.0,10,0,0.625,0,10,0,0.625,0,9,0,0.5625,0,8,0,0.5333333333333333,0,9,0,0.6,0,8,0,0.5714285714285714,0,9,0,0.6428571428571429,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53447,Damon Marx,DallasMorningNews,56,0,0.0,0,111.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,13,0,0.8666666666666667,0,8,0,0.5714285714285714,0,5,0,0.38461538461538464,0,12,0,0.8571428571428571,0,10,0,0.7142857142857143,0,6,0,0.375,0,9,0,0.5625,0,12,0,0.75,0,10,0,0.625,0,8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44212,Cam Mellor,ProFootballFocus,56,0,0.0,0,111.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,13,0,0.8666666666666667,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Rod Woodson,Westwood One,56,0,0.0,0,111.0,12,0,0.75,0,9,0,0.5625,0,10,0,0.625,0,7,0,0.4666666666666667,0,9,0,0.6,0,7,0,0.5,0,8,0,0.5714285714285714,0,13,0,0.8666666666666667,0,11,0,0.7857142857142857,0,5,0,0.38461538461538464,0,12,0,0.8571428571428571,0,10,0,0.7142857142857143,0,12,0,0.75,0,13,0,0.8125,0,11,0,0.6875,0,10,0,0.625,0,8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40506,Kalyn Kahler,MMQB,56,0,0.0,0,111.0,13,0,0.8125,0,9,0,0.5625,0,10,0,0.625,0,7,0,0.4666666666666667,0,9,0,0.6,0,10,0,0.7142857142857143,0,8,0,0.5714285714285714,0,15,0,1.0,0,9,0,0.6428571428571429,0,4,0,0.3076923076923077,0,10,0,0.7142857142857143,0,8,0,0.5714285714285714,0,7,0,0.4375,0,11,0,0.6875,0,10,0,0.625,0,9,0,0.5625,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44216,Austin Gayle,ProFootballFocus,56,0,0.0,0,111.0,10,0,0.625,0,8,0,0.5,0,7,0,0.4375,0,8,0,0.5333333333333333,0,5,0,0.3333333333333333,0,7,0,0.5,0,9,0,0.6428571428571429,0,14,0,0.9333333333333333,0,7,0,0.5,0,7,0,0.5384615384615384,0,13,0,0.9285714285714286,0,9,0,0.6428571428571429,0,7,0,0.4375,0,9,0,0.5625,0,11,0,0.6875,0,11,0,0.6875,0,10,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
